Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;Moyenne loyer mensuel;Surface moyenne (m²);nombre_observations;nombre_logements;methodologie_production
B3000;2025;Agglomération d'Alès;Périphérie;;;1. Moins de 1 an;Ensemble 4P+;5.8;6.4;7.7;8.8;10;7.6;605;700;700;845;950;767;101;64;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;;1. Moins de 1 an;Ensemble 1P;;;;;;;;;;;;;;4;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;;1. Moins de 1 an;Ensemble 2P;;;;;;;;;;;;;;27;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;;1. Moins de 1 an;Ensemble 3P;;;;;;;;;;;;;;47;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;;2. 1 an et plus;;6;6.9;8.2;9.6;11.1;8;420;530;650;800;867;653;82;477;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;;2. 1 an et plus;Ensemble 4P+;5.8;6.5;8;9.1;10.1;7.7;570;631;777;839;900;748;97;237;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;;2. 1 an et plus;Ensemble 1P;;;;;;;;;;;;;;24;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;;2. 1 an et plus;Ensemble 2P;6.4;7.3;9.9;10.3;12.1;9;330;410;450;500;607;467;52;67;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;;2. 1 an et plus;Ensemble 3P;6.9;7.1;8.2;9.6;11;8.4;440;500;595;651;710;583;70;149;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;1. Avant 1946;;;5.2;6.3;7.5;9.6;11.4;7.4;350;450;564;650;773;558;75;211;2558;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;1. Avant 1946;;Ensemble 4P+;4.9;5.8;6.3;7;9.2;6.4;540;570;605;755;850;664;104;67;926;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;1. Avant 1946;;Ensemble 1P;;;;;;;;;;;;;;8;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;1. Avant 1946;;Ensemble 2P;6;6.9;9;10;10.9;8.5;300;370;445;500;550;439;52;51;547;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;1. Avant 1946;;Ensemble 3P;6;7;8.1;9.6;11.8;8.2;414;455;580;650;673;558;68;85;993;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;1. Avant 1946;1. Moins de 1 an;;5.2;5.8;7.2;9.1;11.8;7.3;350;450;600;630;670;546;75;50;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;1. Avant 1946;2. 1 an et plus;;5.8;6.3;7.6;9.6;11;7.4;360;445;556;650;800;561;76;161;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;2. Entre 1946-1970;;;6.5;7.6;8.8;9.6;10.8;8.4;455;550;697;845;850;691;83;73;1712;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;2. Entre 1946-1970;;Ensemble 4P+;;;;;;;;;;;;;;44;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;2. Entre 1946-1970;;Ensemble 1P;;;;;;;;;;;;;;2;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;2. Entre 1946-1970;;Ensemble 2P;;;;;;;;;;;;;;8;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;2. Entre 1946-1970;;Ensemble 3P;;;;;;;;;;;;;;19;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;2. Entre 1946-1970;1. Moins de 1 an;;;;;;;;;;;;;;;16;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;2. Entre 1946-1970;2. 1 an et plus;;6.1;7.5;8.9;9.9;11;8.3;445;543;697;832;850;677;82;57;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;3. Entre 1971-1990;;;6.9;7.1;7.5;9;10;7.9;550;600;690;820;902;705;90;73;1479;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;3. Entre 1971-1990;;Ensemble 4P+;;;;;;;;;;;;;;48;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;3. Entre 1971-1990;;Ensemble 1P;;;;;;;;;;;;;;2;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;3. Entre 1971-1990;;Ensemble 2P;;;;;;;;;;;;;;3;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;3. Entre 1971-1990;;Ensemble 3P;;;;;;;;;;;;;;20;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;3. Entre 1971-1990;1. Moins de 1 an;;;;;;;;;;;;;;;23;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;3. Entre 1971-1990;2. 1 an et plus;;6.9;7.1;7.5;8.1;9.9;7.7;550;600;650;811;863;677;88;50;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;4. Entre 1991-2005;;;6.9;7.4;8.1;9.5;10.4;8.4;505;609;749;787;860;703;84;110;1169;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;4. Entre 1991-2005;;Ensemble 4P+;6.9;7.2;8;9.3;9.5;8.2;550;650;760;815;882;752;91;57;688;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;4. Entre 1991-2005;;Ensemble 1P;;;;;;;;;;;;;;10;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;4. Entre 1991-2005;;Ensemble 2P;;;;;;;;;;;;;;18;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;4. Entre 1991-2005;;Ensemble 3P;;;;;;;;;;;;;;25;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;4. Entre 1991-2005;1. Moins de 1 an;;;;;;;;;;;;;;;26;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;4. Entre 1991-2005;2. 1 an et plus;;6.9;7.2;8.1;9.5;10.2;8.3;497;565;749;777;837;694;84;84;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;5. Après 2005;;;6.1;7.6;8.8;10.3;11.6;8.5;626;700;800;861;922;780;91;152;1478;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;5. Après 2005;;Ensemble 4P+;6.1;7;8.6;10;11.6;8.3;700;700;810;880;940;808;97;85;923;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;5. Après 2005;;Ensemble 1P;;;;;;;;;;;;;;6;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;5. Après 2005;;Ensemble 2P;;;;;;;;;;;;;;14;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;5. Après 2005;;Ensemble 3P;;;;;;;;;;;;;;47;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;5. Après 2005;1. Moins de 1 an;;;;;;;;;;;;;;;27;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;;5. Après 2005;2. 1 an et plus;;6.2;8.3;9;10.7;11.6;8.9;640;750;810;885;930;801;90;125;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;;;;6.1;7.2;8.6;9.7;11.1;8.3;605;700;800;850;929;774;94;275;4166;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;;;Maison 1-3P;8.3;9.3;10;11.1;11.9;9.9;350;630;675;750;802;662;67;57;1236;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;;;Maison 4P+;6.1;7.1;8.3;9.4;10.4;8.1;650;700;805;853;940;795;99;218;2930;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;;1. Moins de 1 an;;6.1;6.7;7.8;9.4;10.4;8;605;700;725;845;950;771;97;69;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;16;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;;1. Moins de 1 an;Maison 4P+;5.8;6.6;7.8;8.8;10.1;7.7;605;700;725;845;950;780;101;53;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;;2. 1 an et plus;;6.2;7.5;8.8;9.9;11.2;8.4;600;692;800;850;921;775;92;206;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;41;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;;2. 1 an et plus;Maison 4P+;6.2;7.2;8.4;9.4;11.1;8.2;650;750;810;861;940;801;98;165;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;1. Avant 1946;;;5.8;6.3;8.7;9.9;11.7;7.8;564;605;690;810;865;699;90;70;813;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;1. Avant 1946;;Maison 1-3P;;;;;;;;;;;;;;28;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;1. Avant 1946;;Maison 4P+;;;;;;;;;;;;;;42;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;1. Avant 1946;1. Moins de 1 an;;;;;;;;;;;;;;;17;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;1. Avant 1946;2. 1 an et plus;;5.9;6.7;9.3;9.9;11.7;8;540;639;700;827;897;707;89;53;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;2. Entre 1946-1970;;;;;;;;;;;;;;;;43;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;2. Entre 1946-1970;;Maison 1-3P;;;;;;;;;;;;;;9;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;2. Entre 1946-1970;;Maison 4P+;;;;;;;;;;;;;;34;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;2. Entre 1946-1970;1. Moins de 1 an;;;;;;;;;;;;;;;10;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;2. Entre 1946-1970;2. 1 an et plus;;;;;;;;;;;;;;;33;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;3. Entre 1971-1990;;;;;;;;;;;;;;;;46;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;3. Entre 1971-1990;;Maison 1-3P;;;;;;;;;;;;;;8;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;3. Entre 1971-1990;;Maison 4P+;;;;;;;;;;;;;;38;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;3. Entre 1971-1990;1. Moins de 1 an;;;;;;;;;;;;;;;16;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;3. Entre 1971-1990;2. 1 an et plus;;;;;;;;;;;;;;;30;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;4. Entre 1991-2005;;;;;;;;;;;;;;;;44;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;4. Entre 1991-2005;;Maison 1-3P;;;;;;;;;;;;;;2;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;4. Entre 1991-2005;;Maison 4P+;;;;;;;;;;;;;;42;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;4. Entre 1991-2005;1. Moins de 1 an;;;;;;;;;;;;;;;9;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;4. Entre 1991-2005;2. 1 an et plus;;;;;;;;;;;;;;;35;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;5. Après 2005;;;6.1;7.3;8.8;10;11.6;8.5;700;700;810;880;940;814;96;72;985;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;5. Après 2005;;Maison 1-3P;;;;;;;;;;;;;;10;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;5. Après 2005;;Maison 4P+;6.1;6.7;8.8;10;11.6;8.4;700;700;810;885;940;815;97;62;794;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;5. Après 2005;1. Moins de 1 an;;;;;;;;;;;;;;;17;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Maison;5. Après 2005;2. 1 an et plus;;6.2;8.3;8.9;10.7;11.6;8.9;750;800;825;890;940;838;94;55;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;;;5.6;6.8;7.6;9.5;10.8;7.6;370;450;550;625;690;539;71;344;4229;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;;Appart 1P;;;;;;;;;;;;;;27;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;;Appart 2P;6.4;7.3;9.6;10.6;11.9;8.9;330;399;450;500;600;448;50;90;1081;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;;Appart 3P;6.5;6.9;7.9;8.7;10.4;7.8;428;490;552;630;650;553;71;144;1742;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;;Appart 4P+;4.9;5.8;6.5;7.5;9.4;6.6;540;561;600;703;787;630;96;83;1223;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;1. Moins de 1 an;;5.2;7;7.9;9.1;10.9;7.7;350;450;550;630;652;539;70;73;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;1. Moins de 1 an;Appart 1P;;;;;;;;;;;;;;4;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;1. Moins de 1 an;Appart 2P;;;;;;;;;;;;;;25;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;1. Moins de 1 an;Appart 3P;;;;;;;;;;;;;;33;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;1. Moins de 1 an;Appart 4P+;;;;;;;;;;;;;;11;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;2. 1 an et plus;;5.8;6.5;7.6;9.6;10.8;7.5;370;450;550;607;690;539;72;271;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;2. 1 an et plus;Appart 1P;;;;;;;;;;;;;;23;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;2. 1 an et plus;Appart 2P;6.4;7.3;9.9;10.3;12.1;8.9;330;399;450;500;578;448;51;65;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;2. 1 an et plus;Appart 3P;6.5;6.9;8;8.9;10.4;7.9;428;482;550;630;650;547;69;111;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;;2. 1 an et plus;Appart 4P+;4.9;5.8;6.5;7.5;9.5;6.6;540;550;600;702;797;628;96;72;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;1. Avant 1946;;;5.2;6.3;7.3;9.1;10.9;7.2;350;440;500;580;650;499;70;141;1744;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;1. Avant 1946;;Appart 1P;;;;;;;;;;;;;;7;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;1. Avant 1946;;Appart 2P;;;;;;;;;;;;;;48;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;1. Avant 1946;;Appart 3P;5.9;6.9;7.9;8.9;11.8;7.7;370;450;530;620;650;528;68;61;723;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;1. Avant 1946;;Appart 4P+;;;;;;;;;;;;;;25;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;1. Avant 1946;1. Moins de 1 an;;;;;;;;;;;;;;;33;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;1. Avant 1946;2. 1 an et plus;;5.2;6.3;7.3;9.5;10.4;7.1;360;440;500;580;650;499;70;108;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;2. Entre 1946-1970;;;;;;;;;;;;;;;;30;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;2. Entre 1946-1970;;Appart 1P;;;;;;;;;;;;;;2;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;2. Entre 1946-1970;;Appart 2P;;;;;;;;;;;;;;7;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;2. Entre 1946-1970;;Appart 3P;;;;;;;;;;;;;;11;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;2. Entre 1946-1970;;Appart 4P+;;;;;;;;;;;;;;10;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;2. Entre 1946-1970;1. Moins de 1 an;;;;;;;;;;;;;;;6;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;2. Entre 1946-1970;2. 1 an et plus;;;;;;;;;;;;;;;24;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;3. Entre 1971-1990;;;;;;;;;;;;;;;;27;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;3. Entre 1971-1990;;Appart 1P;;;;;;;;;;;;;;2;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;3. Entre 1971-1990;;Appart 2P;;;;;;;;;;;;;;3;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;3. Entre 1971-1990;;Appart 3P;;;;;;;;;;;;;;12;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;3. Entre 1971-1990;;Appart 4P+;;;;;;;;;;;;;;10;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;3. Entre 1971-1990;1. Moins de 1 an;;;;;;;;;;;;;;;7;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;3. Entre 1971-1990;2. 1 an et plus;;;;;;;;;;;;;;;20;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;4. Entre 1991-2005;;;6.9;7;8.1;9.5;12.4;8.3;495;550;609;630;749;599;72;66;411;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;4. Entre 1991-2005;;Appart 1P;;;;;;;;;;;;;;10;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;4. Entre 1991-2005;;Appart 2P;;;;;;;;;;;;;;18;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;4. Entre 1991-2005;;Appart 3P;;;;;;;;;;;;;;23;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;4. Entre 1991-2005;;Appart 4P+;;;;;;;;;;;;;;15;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;4. Entre 1991-2005;1. Moins de 1 an;;;;;;;;;;;;;;;17;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;4. Entre 1991-2005;2. 1 an et plus;;;;;;;;;;;;;;;49;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;5. Après 2005;;;7.1;8;9.4;10.8;10.8;9;501;607;607;640;716;622;69;80;493;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;5. Après 2005;;Appart 1P;;;;;;;;;;;;;;6;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;5. Après 2005;;Appart 2P;;;;;;;;;;;;;;14;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;5. Après 2005;;Appart 3P;;;;;;;;;;;;;;37;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;5. Après 2005;;Appart 4P+;;;;;;;;;;;;;;23;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;5. Après 2005;1. Moins de 1 an;;;;;;;;;;;;;;;10;;Estimation directe
B3000;2025;Agglomération d'Alès;Périphérie;Appartement;5. Après 2005;2. 1 an et plus;;7.6;8;9.3;10.8;10.8;8.8;501;607;632;652;748;630;72;70;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;;;9.2;10.5;11.9;14;17.2;11.7;450;520;625;776;1000;684;59;39064;172235;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;;Maison 1-3P;;;;;;;;;;;;;;;;
B3100;2025;Agglomération de Toulouse;;;;;Ensemble 4P+;7.8;9.1;10.4;11.5;12.9;10.2;688;818;945;1127;1370;1000;98;4454;36406;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;;Maison 4P+;7.7;9.2;10.4;11.3;12.5;10;796;880;1000;1200;1394;1049;105;1492;19853;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;;Appart 1P;13.1;14.8;17;20.6;23.9;17.2;360;400;449;500;550;455;27;5271;24649;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;;Appart 2P;10.5;11.7;12.8;14.2;16.6;12.9;466;502;545;597;663;557;43;16004;57362;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;;Appart 3P;9.3;10.1;11.1;12.1;13.3;11.2;571;635;690;758;850;707;63;12680;47097;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;;Appart 4P+;7.8;9.1;10.3;11.6;13.8;10.6;650;730;884;1048;1350;944;89;2962;16553;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;;Ensemble 1P;13.1;14.8;17;20.6;23.9;17.2;360;400;449;500;550;455;27;5271;24861;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;;Ensemble 2P;10.5;11.7;12.8;14.3;16.7;12.9;466;501;545;599;666;559;43;16045;58410;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;;Ensemble 3P;9.2;10.2;11.1;12.1;13.3;11.2;575;640;698;764;860;713;64;13294;52559;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;1. Moins de 1 an;;9.7;11;12.5;14.9;19.2;12.4;450;520;619;770;1069;695;56;10794;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;1. Moins de 1 an;Ensemble 4P+;8.6;9.7;10.6;12.5;14.2;11;722;869;1020;1242;1550;1097;99;1041;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;1. Moins de 1 an;Ensemble 1P;13.5;15.7;18.7;21.4;25.5;18.2;379;410;465;510;550;470;26;1753;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;1. Moins de 1 an;Ensemble 2P;11;11.9;13;14.5;17;13.3;475;515;555;610;690;570;43;4529;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;1. Moins de 1 an;Ensemble 3P;9.5;10.4;11.2;12.4;14.1;11.6;595;647;705;780;895;731;63;3471;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;2. 1 an et plus;;9;10.4;11.7;13.6;16.5;11.4;450;520;629;780;971;679;60;28270;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;;2. 1 an et plus;Ensemble 4P+;;;;;;;;;;;;;;3413;;
B3100;2025;Agglomération de Toulouse;;;;2. 1 an et plus;Ensemble 1P;;;;;;;;;;;;;;3518;;
B3100;2025;Agglomération de Toulouse;;;;2. 1 an et plus;Ensemble 2P;;;;;;;;;;;;;;11516;;
B3100;2025;Agglomération de Toulouse;;;;2. 1 an et plus;Ensemble 3P;;;;;;;;;;;;;;9823;;
B3100;2025;Agglomération de Toulouse;;;1. Avant 1946;;;9.1;11.5;14.1;17.8;21.6;12.9;418;500;607;840;1100;706;55;2664;14562;Estimation directe
B3100;2025;Agglomération de Toulouse;;;1. Avant 1946;;Ensemble 4P+;5.6;7.8;10.9;13.1;15.3;10.3;600;900;1100;1350;1650;1129;109;290;3128;Estimation directe
B3100;2025;Agglomération de Toulouse;;;1. Avant 1946;;Ensemble 1P;14;16.8;19.2;22.6;25.7;19.1;365;415;470;522;593;484;25;806;3540;Estimation directe
B3100;2025;Agglomération de Toulouse;;;1. Avant 1946;;Ensemble 2P;10.2;12.1;14.4;16.9;19.8;14.2;470;500;562;657;785;593;42;997;4719;Estimation directe
B3100;2025;Agglomération de Toulouse;;;1. Avant 1946;;Ensemble 3P;9.1;11;12.4;14.2;16.7;12.4;533;655;750;880;1020;765;62;571;3175;Estimation directe
B3100;2025;Agglomération de Toulouse;;;1. Avant 1946;1. Moins de 1 an;;10.8;12.9;15.5;20;23.5;14.8;410;500;610;825;1100;715;48;807;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;1. Avant 1946;2. 1 an et plus;;8;10.9;13.1;16.7;20.2;12.1;427;493;600;846;1100;701;58;1857;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;2. Entre 1946-1970;;;8.3;9.5;11.3;13.2;16.1;11.1;480;560;678;850;1121;749;67;2664;23866;Estimation directe
B3100;2025;Agglomération de Toulouse;;;2. Entre 1946-1970;;Ensemble 4P+;7.8;8.8;10.3;11.8;13.2;10.3;645;708;900;1120;1370;961;93;636;6565;Estimation directe
B3100;2025;Agglomération de Toulouse;;;2. Entre 1946-1970;;Ensemble 1P;12.8;15.7;18.3;21.4;23.4;17.7;380;435;485;550;566;480;27;386;3919;Estimation directe
B3100;2025;Agglomération de Toulouse;;;2. Entre 1946-1970;;Ensemble 2P;9;10.6;12.5;14.4;16.5;12.5;450;500;556;630;705;572;46;721;6132;Estimation directe
B3100;2025;Agglomération de Toulouse;;;2. Entre 1946-1970;;Ensemble 3P;8.6;9.7;10.9;12.1;14.2;11.1;550;600;680;765;860;699;63;921;7249;Estimation directe
B3100;2025;Agglomération de Toulouse;;;2. Entre 1946-1970;1. Moins de 1 an;;9;10.4;12.4;14.6;17.7;12;510;600;730;1100;1360;858;71;673;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;2. Entre 1946-1970;2. 1 an et plus;;8.1;9.2;10.8;12.5;16;10.7;465;550;653;800;960;701;66;1991;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;3. Entre 1971-1990;;;8.9;10.4;12.1;15.1;18.3;11.8;420;480;580;730;1025;654;56;4191;36708;Estimation directe
B3100;2025;Agglomération de Toulouse;;;3. Entre 1971-1990;;Ensemble 4P+;7.7;8.6;10.5;11.4;12.9;10.2;590;807;951;1200;1360;1000;98;600;8854;Estimation directe
B3100;2025;Agglomération de Toulouse;;;3. Entre 1971-1990;;Ensemble 1P;12.8;15;16.5;19.5;22.8;16.6;363;400;440;495;527;447;27;1309;7754;Estimation directe
B3100;2025;Agglomération de Toulouse;;;3. Entre 1971-1990;;Ensemble 2P;10.2;11.2;12.6;14.3;16.7;12.6;455;508;559;610;660;563;45;1463;11198;Estimation directe
B3100;2025;Agglomération de Toulouse;;;3. Entre 1971-1990;;Ensemble 3P;8.6;9.5;10.5;11.5;12.5;10.6;554;620;682;787;941;726;68;819;8902;Estimation directe
B3100;2025;Agglomération de Toulouse;;;3. Entre 1971-1990;1. Moins de 1 an;;9.7;11;12.7;15.8;20.6;12.5;437;500;580;750;1150;693;56;1139;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;3. Entre 1971-1990;2. 1 an et plus;;8.5;10.1;11.8;15;17.6;11.4;400;468;580;720;962;634;56;3052;;Estimation directe
B3100;2025;Agglomération de Toulouse;;;4. Entre 1991-2005;;;9.6;10.6;12;14;16.6;11.7;445;510;610;775;1000;673;57;7236;38210;Estimation directe
B3100;2025;Agglomération de Toulouse;;;4. Entre 1991-2005;;Ensemble 4P+;8.7;9.6;10.4;11.5;12.2;10.3;760;850;980;1136;1409;1029;100;789;7293;Estimation directe
